Year,Country,Arrivals
2022,Gambia,10
2022,Georgia,220
2022,Germany,106300
2022,Ghana,1530
2022,Greece,5630
2022,Grenada,20
2022,Guatemala,330
2022,Guinea,70
2022,Guyana,40
2022,Haiti,10
2022,Honduras,120
2022,Hong Kong,46700
2022,Hungary,4490
2022,Iceland,600
2022,India,538670
2022,Indonesia,123200
2022,Iran,21310
2022,Iraq,6470
2022,Ireland,75480
2022,Israel,8850
2022,Italy,55180
2022,Jamaica,260
2022,Japan,101740
2022,Jordan,2700
2022,Kazakhstan,1290
2022,Kenya,7040
2022,Kiribati,1410
2022,"Korea, South",101860
2022,Kosovo,200
2022,Kuwait,1180
2022,Kyrgyzstan,200
2022,Laos,1890
2022,Latvia,1090
2022,Lebanon,7770
2022,Lesotho,30
2022,Liberia,140
2022,Libya,110
2022,Liechtenstein,90
2022,Lithuania,2400
2022,Luxembourg,550
2022,Macau,710
2022,Madagascar,80
2022,Malawi,260
2022,Malaysia,143300
2022,Maldives,730
2022,Mali,80
2022,Malta,1310
2022,Marshall Is,70
2022,Mauritania,10
2022,Mauritius,6170
2022,Mexico,7560
2022,"Micronesia, F S",70
2022,Moldova,170
2022,Monaco,20
2022,Mongolia,7760
2022,Montenegro,260
2022,Morocco,690
2022,Mozambique,160
2022,Myanmar,6880
2022,Namibia,330
2022,Nauru,3520
2022,Nepal,96520
2022,Netherlands,45360
2022,New Zealand,980840
2022,Nicaragua,50
2022,Nigeria,5270
2022,North Macedonia,2380
2022,Norway,11840
2022,Oman,650
2022,PNG,18230
2022,Pakistan,50520
2022,Palau,60
2022,Panama,200
2022,Paraguay,250
2022,Peru,4430
2022,Philippines,127400
2022,Poland,12090
2022,Portugal,8030
2022,Qatar,320
2022,Romania,3730
2022,Russia,9450
2022,Rwanda,150
2022,Samoa,4080
2022,Saudi Arabia,7530
2022,Senegal,70
2022,Serbia,1960
2022,Seychelles,220
2022,Sierra Leone,190
2022,Singapore,240340
2022,Slovakia,3170
2022,Slovenia,1150
2022,Solomon Islands,5010
2022,Somalia,290
2022,South Africa,49070
2022,South Sudan,250
2022,Spain,27150
2022,Sri Lanka,53890
2022,St Kitts/Nevis,90
2022,St Lucia,10
2022,Sudan,820
2022,Suriname,10
2022,Sweden,19650
2022,Switzerland,17560
2022,Syria,3380
2022,Taiwan,34810
2022,Tajikistan,40
2022,Tanzania,470
2022,Thailand,65490
2022,Timor-Leste,6070
2022,Togo,20
2022,Tonga,6480
2022,Trinidad/Tobago,360
2022,Tunisia,250
2022,Turkey,8570
2022,Turkmenistan,20
2022,Tuvalu,330
2022,"UK, CIs & IOM",502660
2022,USA,317550
2022,Uganda,590
2022,Ukraine,9580
2022,Unit Arab Emir,2020
2022,Uruguay,1240
2022,Uzbekistan,670
2022,Vanuatu,8090
2022,Venezuela,1200
2022,Vietnam,108850
2022,Yemen,280
2022,Zambia,1100
2022,Zimbabwe,5920
2023,Afghanistan,16410
2023,Albania,920
2023,Algeria,370
2023,Andorra,90
2023,Angola,60
2023,Antigua/Barbuda,70
2023,Argentina,22720
2023,Armenia,500
2023,Australia,9010980
2023,Austria,17800
2023,Azerbaijan,480
2023,Bahamas,150
2023,Bahrain,340
2023,Bangladesh,38780
2023,Barbados,170
2023,Belarus,930
2023,Belgium,19790
2023,Belize,40
2023,Benin,20
2023,Bhutan,20200
2023,Bolivia,450
2023,Bosnia/Herzegov,1180
2023,Botswana,980
2023,Brazil,69450
2023,Brunei,4890
2023,Bulgaria,2560
2023,Burkina Faso,20
2023,Burundi,290
2023,Cambodia,23310
2023,Cameroon,240
2023,Canada,170640
2023,Cent Africa Rep,90
2023,Chad,30
2023,Chile,29490
2023,China,870600
2023,Colombia,55980
2023,"Congo, Dem Rep",1690
2023,"Congo, Rep",100
2023,Costa Rica,770
2023,Cote d'Ivoire,80
2023,Croatia,3580
2023,Cuba,240
2023,Cyprus,1590
2023,Czechia,9670
2023,Denmark,27250
2023,Djibouti,20
2023,Dominica,190
2023,Dominican Rep,280
2023,Ecuador,3730
2023,Egypt,8230
2023,El Salvador,530
2023,Eritrea,530
2023,Estonia,5690
2023,Eswatini,70
2023,Ethiopia,2190
2023,Fiji,59670
2023,Finland,12040
2023,France,184690
2023,Gabon,20
2023,Gambia,30
2023,Georgia,290
2023,Germany,181870
2023,Ghana,2460
2023,Greece,7540
2023,Grenada,80
2023,Guatemala,590
2023,Guinea,80
2023,Guyana,70
2023,Haiti,120
2023,Holy See,10
2023,Honduras,300
2023,Hong Kong,166470
2023,Hungary,7360
2023,Iceland,910
2023,India,732970
2023,Indonesia,239190
2023,Iran,25450
2023,Iraq,7280
2023,Ireland,121150
2023,Israel,11270
2023,Italy,86080
2023,Jamaica,670
2023,Japan,329400
2023,Jordan,3420
2023,Kazakhstan,2170
2023,Kenya,13380
2023,Kiribati,2840
2023,"Korea, South",342240
2023,Kosovo,260
2023,Kuwait,1930
2023,Kyrgyzstan,340
2023,Laos,3640
2023,Latvia,1760
2023,Lebanon,8950
2023,Lesotho,90
2023,Liberia,170
2023,Libya,130
2023,Liechtenstein,100
2023,Lithuania,4140
2023,Luxembourg,1030
2023,Macau,3510
2023,Madagascar,130
2023,Malawi,380
2023,Malaysia,279950
2023,Maldives,1270
2023,Mali,40
2023,Malta,2220
2023,Marshall Is,210
2023,Mauritania,10
2023,Mauritius,10510
2023,Mexico,14970
2023,"Micronesia, F S",190
2023,Moldova,200
2023,Monaco,40
2023,Mongolia,18190
2023,Montenegro,300
2023,Morocco,1190
2023,Mozambique,250
2023,Myanmar,8650
2023,Namibia,450
2023,Nauru,6320
2023,Nepal,119860
2023,Netherlands,71280
2023,New Zealand,1720680
2023,Nicaragua,130
2023,Nigeria,7770
2023,North Macedonia,3180
2023,Norway,19400
2023,Oman,960
2023,PNG,35880
2023,Pakistan,66390
2023,Palau,200
2023,Panama,450
2023,Paraguay,430
2023,Peru,8290
2023,Philippines,243630
2023,Poland,20810
2023,Portugal,13920
2023,Qatar,760
2023,Romania,6180
2023,Russia,17580
2023,Rwanda,230
2023,Samoa,7080
2023,San Marino,20
2023,Saudi Arabia,9890
2023,Senegal,120
2023,Serbia,3240
2023,Seychelles,370
2023,Sierra Leone,200
2023,Singapore,286740
2023,Slovakia,4840
2023,Slovenia,2340
2023,Solomon Islands,9750
2023,Somalia,410
2023,South Africa,66480
2023,South Sudan,290
2023,Spain,46120
2023,Sri Lanka,83100
2023,St Kitts/Nevis,160
2023,St Lucia,90
2023,St Vinc/Grenad,60
2023,Sudan,1110
2023,Suriname,60
2023,Sweden,31120
2023,Switzerland,33860
2023,Syria,3190
2023,Taiwan,142160
2023,Tajikistan,110
2023,Tanzania,860
2023,Thailand,107320
2023,Timor-Leste,7910
2023,Togo,50
2023,Tonga,14580
2023,Trinidad/Tobago,730
2023,Tunisia,420
2023,Turkey,12820
2023,Turkmenistan,60
2023,Tuvalu,930
2023,"UK, CIs & IOM",754760
2023,USA,638260
2023,Uganda,1240
2023,Ukraine,5890
2023,Unit Arab Emir,3600
2023,Uruguay,2460
2023,Uzbekistan,1030
2023,Vanuatu,13440
2023,Venezuela,2190
2023,Vietnam,221340
2023,Yemen,450
2023,Zambia,1780
2023,Zimbabwe,9290
2024,Afghanistan,11190
2024,Albania,380
2024,Algeria,280
2024,Andorra,40
2024,Angola,50
2024,Antigua/Barbuda,30
2024,Argentina,14180
2024,Armenia,230
2024,Australia,5880990
2024,Austria,10320
2024,Azerbaijan,260
2024,Bahamas,100
2024,Bahrain,220
2024,Bangladesh,28450
2024,Barbados,100
2024,Belarus,470
2024,Belgium,11580
2024,Belize,30
2024,Benin,10
2024,Bhutan,8200
2024,Bolivia,280
2024,Bosnia/Herzegov,490
2024,Botswana,570
2024,Brazil,39470
2024,Brunei,3120
2024,Bulgaria,1480
2024,Burkina Faso,10
2024,Burundi,180
2024,Cambodia,16070
2024,Cameroon,100
2024,Canada,106390
2024,Cent Africa Rep,140
2024,Chile,18610
2024,China,843940
2024,Colombia,24940
2024,"Congo, Dem Rep",1440
2024,"Congo, Rep",100
2024,Costa Rica,490
2024,Cote d'Ivoire,40
2024,Croatia,2190
2024,Cuba,100
2024,Cyprus,860
2024,Czechia,6170
2024,Denmark,15680
2024,Dominica,120
2024,Dominican Rep,170
2024,Ecuador,2160
2024,Egypt,4640
2024,El Salvador,240
2024,Eritrea,390
2024,Estonia,2970
2024,Eswatini,30
2024,Ethiopia,1380
2024,Fiji,36730
2024,Finland,6720
2024,France,108450
2024,Gabon,10
2024,Gambia,40
2024,Georgia,230
2024,Germany,107530
2024,Ghana,1490
2024,Greece,3710
2024,Grenada,70
2024,Guatemala,330
2024,Guinea,50
2024,Guyana,40
2024,Haiti,10
2024,Holy See,10
2024,Honduras,180
2024,Hong Kong,124430
2024,Hungary,4150
2024,Iceland,520
2024,India,476800
2024,Indonesia,171970
2024,Iran,15420
2024,Iraq,3840
2024,Ireland,74010
2024,Israel,6300
2024,Italy,50240
2024,Jamaica,290
2024,Japan,229680
2024,Jordan,1890
2024,Kazakhstan,1340
2024,Kenya,6760
2024,Kiribati,1580
2024,"Korea, South",249730
2024,Kosovo,140
2024,Kuwait,1580
2024,Kyrgyzstan,210
2024,Laos,2590
2024,Latvia,1070
2024,Lebanon,4760
2024,Lesotho,40
2024,Liberia,110
2024,Libya,40
2024,Liechtenstein,60
2024,Lithuania,2440
2024,Luxembourg,600
2024,Macau,2850
2024,Madagascar,110
2024,Malawi,220
2024,Malaysia,187890
2024,Maldives,890
2024,Mali,30
2024,Malta,1170
2024,Marshall Is,100
2024,Mauritius,5630
2024,Mexico,9790
2024,"Micronesia, F S",110
2024,Middle East nfd,80
2024,Moldova,120
2024,Monaco,20
2024,Mongolia,8720
2024,Montenegro,160
2024,Morocco,630
2024,Mozambique,150
2024,Myanmar,5240
2024,Namibia,300
2024,Nauru,3520
2024,Nepal,61900
2024,Netherlands,40770
2024,New Zealand,1093670
2024,Nicaragua,90
2024,Nigeria,4070
2024,North Macedonia,1070
2024,Norway,11880
2024,Oman,740
2024,PNG,23090
2024,Pakistan,39920
2024,Palau,120
2024,Panama,320
2024,Paraguay,280
2024,Peru,4980
2024,Philippines,156680
2024,Poland,13230
2024,Portugal,8610
2024,Qatar,380
2024,Romania,3350
2024,Russia,9660
2024,Rwanda,180
2024,Samoa,4740
2024,Saudi Arabia,8670
2024,Senegal,40
2024,Serbia,1560
2024,Seychelles,180
2024,Sierra Leone,150
2024,Singapore,191590
2024,Slovakia,2810
2024,Slovenia,1300
2024,Solomon Islands,6440
2024,Somalia,310
2024,South Africa,38010
2024,South Sudan,180
2024,Spain,27440
2024,Sri Lanka,54360
2024,St Kitts/Nevis,120
2024,St Lucia,70
2024,St Vinc/Grenad,30
2024,Sudan,620
2024,Suriname,10
2024,Sweden,16630
2024,Switzerland,19520
2024,Syria,2570
2024,Taiwan,116640
2024,Tajikistan,80
2024,Tanzania,470
2024,Thailand,68760
2024,Timor-Leste,4730
2024,Togo,10
2024,Tonga,9440
2024,Trinidad/Tobago,270
2024,Tunisia,240
2024,Turkey,7290
2024,Turkmenistan,50
2024,Tuvalu,670
2024,"UK, CIs & IOM",447390
2024,USA,418930
2024,Uganda,790
2024,Ukraine,3400
2024,Unit Arab Emir,3030
2024,Uruguay,1490
2024,Uzbekistan,770
2024,Vanuatu,6920
2024,Venezuela,1070
2024,Vietnam,148870
2024,Yemen,280
2024,Zambia,1000
2024,Zimbabwe,5680
